lad22nm,epoch,timepoint,unemployment_rate
westminster,2017,-12,6
westminster,2017,-6,6.1
westminster,2017,0,5.9
westminster,2017,6,5.6
westminster,2017,12,5.7
westminster,2017,24,4.5
westminster,2023,-12,4.6
westminster,2023,-6,3.4
westminster,2023,0,3.7
westminster,2023,6,5
westminster,2023,12,5.5
westminster,2023,24,4.3
camden,2017,-12,5.7
camden,2017,-6,5.8
camden,2017,0,5.3
camden,2017,6,5.2
camden,2017,12,5
camden,2017,24,4.8
camden,2023,-12,3.8
camden,2023,-6,3.9
camden,2023,0,4
camden,2023,6,4.9
camden,2023,12,6.3
camden,2023,24,5
hackney,2017,-12,7.9
hackney,2017,-6,7.2
hackney,2017,0,5.7
hackney,2017,6,4.8
hackney,2017,12,5.7
hackney,2017,24,5
hackney,2023,-12,4.3
hackney,2023,-6,6.1
hackney,2023,0,4.3
hackney,2023,6,3.8
hackney,2023,12,4.4
hackney,2023,24,5.3
city_of_london,2017,-12,6.6
city_of_london,2017,-6,6.2
city_of_london,2017,0,5.7
city_of_london,2017,6,5.3
city_of_london,2017,12,5.4
city_of_london,2017,24,5
city_of_london,2023,-12,4
city_of_london,2023,-6,4.3
city_of_london,2023,0,4
city_of_london,2023,6,4.8
city_of_london,2023,12,5.6
city_of_london,2023,24,5.7
